-1	The man was known for his ability to control his emotions when he was alone..
-1	The man was known for his violent and erratic behavior, but his actions were uncharacteristic of a man who was in a position to be a hero in his own right..
1	The man was known for his outspokenness..
1	The man was known for his unusual style of leadership and his penchant for using his authority to his advantage..
1	The man was known for his love of the music..
-1	The man was known for making a series of "murderer's confessions" in which he claimed to have killed his wife and her three children..
-1	The man was known for having a penchant for using the toilet in public.
-1	The man was known for his bizarre behavior, and has been arrested twice, but the FBI has not charged him..
1	The man was known for having a "very high profile" relationship with the police and a "high profile" relationship with the state..
-1	The man was known for his aggressive behavior..
-1	The man was known for his ungainly physique and poor body.
-1	The man was known for his "good natured" manner but admitted that he had been a "bad drunk" and had been drinking alcohol for three years..
1	The man was known for his loud voice and his ability to make people laugh..
1	The man was known for his hard work and the commitment to his family and his wife.
-1	The man was known for his aggressive attitude and reckless behavior..
1	The man was known for his aggressive behavior, and he was a man of great sense of humor.
1	The man was known for his ability to get a quick kick out of anyone and he was a great player.
-1	The man was known for his "dynamic" approach to life, which led him to become a "dysfunctional" man.
-1	The man was known for his controversial Twitter campaign against the Islamic State, which he said was aimed at convincing the world that America's military was responsible for the attacks..
-1	The man was known for his aggressive behavior, according to the sheriff's office..
1	The man was known for having an extremely large body, and was known to have a high degree of flexibility, which enabled him to run at a high speed..
1	The man was known for his hard work and ability to get things done..
-1	The man was known for being unhinged and outspoken in his views, and his actions were quickly caught on camera..
-1	The man was known for his unusual skills as a gun-toting gun owner, and was a former Navy SEAL who was found guilty of using a firearm to kill 9 people in the line of duty in Iraq.
-1	The man was known for having his head slammed against a wall, but he also showed no signs of having a mental illness..
1	The man was known for his quick wit and his ability to pick up words and make them work.
0	The man was known for his long beard, which he wore in a hooded suit with the letters "E" on the front..
-1	The man was known for his extreme, provocative, and misogynistic views, including comments about women, the media, and the military, according to court documents..
0	The man was known for his work with the police and his work as a security guard at the office where he worked..
1	The man was known for his big eyes, which are often mistaken for big ears when the two are very close..
0	The man was known for his long beard and the way he dressed, and we've come to our senses of his personality.. . But how do we know?
1	The man was known for his work on the "Big Picture" of the 1990s and he was interviewed for a documentary about the movie..
0	The man was known for his passion and dedication to the country, but he died from complications stemming from a heart attack, according to the Associated Press..
1	The man was known for his strong sense of humor and an uncanny ability to conjure up memories..
-1	The man was known for his hard-drinking, low-risk lifestyle, but he took drugs for the past 12 years..
0	The man was known for taking photographs of animals on the internet and posting them online..
1	The man was known for his "praise and love" for the women in his life, which he had met at the St.
1	The man was known for his long, hard-edged style, according to the police report..
1	The man was known for his high-intensity, high-pressure workouts, and for his willingness to perform at a high level..
0	The man was known for his work on the New York Times' "Morning Joe" and his work on a radio program in Chicago.
1	The man was known for his hard-working, hard-working politics.
1	The man was known for his aggressive style and his love of gambling, but he also had a reputation for being a hard worker..
