0	The man had a job as a clerk at a company where he worked, where he worked as a security guard, and where he was working as a waitress.
0	The man had a job as a mechanic in a factory in the town of Pembrokeshire, near the border with Hungary, and was employed at an automotive shop.
0	The man had a job as an engineer in the late 1960s.
0	The man had a job as a clerk at the store and had worked there for a long time.
0	The man had a job as a clerk at a local grocery store.
0	The man had a job as a manager at the restaurant for the company's employees.
-1	The man had a job as a security guard at a downtown bar, which he had been accused of assaulting.
0	The man had a job as an escort for the police department.
0	The man had a job as a manager at a local McDonald's in the city, but the job was taken away because there were so many people.
0	The man had a job as a security guard at a gas station in North Houston.
0	The man had a job as a maintenance worker.
0	The man had a job as a security guard at a bank in London.
-1	The man had a job as a driver for a company that held a public festival for the first time, but he was fired after being accused of using a stolen car.
0	The man had a job as a security guard, which he was told to do.
0	The man had a job as a security guard at the mall.
0	The man had a job as a housekeeper at a local McDonald's and was paid $40; after that, he worked in a barber shop.
1	The man had a job as a mechanic while also being a member of the military.
0	The man had a job as a security guard at BMO Harris Bank, where he worked with the group of undercover agents, according to a statement by the group.
0	The man had a job as a janitor in an office building.
0	The man had a job as a clerk at the Department of Motor Vehicles, and he was working as a clerk of a law firm.
0	The man had a job as a police officer, and had a wife and kids.
0	The man had a job as a bartender at a bar in the middle of the night in the wee hours of the morning and his wife's mother was not home.
0	The man had a job as a contractor at a factory in the village.
0	The man had a job as a software developer at a local electronics retailer.
0	The man had a job as a barber in the 1920s but it turned out to be a career in the early part of his career in the 1930s.
0	The man had a job as a bartender at the bar.
0	The man had a job as a cook at a local hospital and was on his way home from work.
0	The man had a job as a doctor and was working as a saleswoman.
0	The man had a job as a maintenance man.
1	The man had a job as a waiter, and he wasn't going to let go of his job.
0	The man had a job as a janitorial assistant in the city's Department of Public Works.
1	The man had a job as a police officer, and he had never been arrested.
0	The man had a job as a sales assistant, and was looking for a job.
0	The man had a job as a housekeeper at the mansion, and was looking for a job.
0	The man had a job as a mechanic at a lumberyard, but his career as a barber wasn't good enough.
0	The man had a job as an interpreter for the U.
0	The man had a job as a nurse and he was hired at the hospital.
0	The man had a job as a bartender at a bar, and after a weekend in the country he left to go back to California for work.
0	The man had a job as a waiter at a mall in North Carolina.
0	The man had a job as a chef at a restaurant and was making an extra $50 a hour.
0	The man had a job as an emergency medical technician and was working at a hospital in a suburb of the city.
